ID;DATE;ISO_3;PAYS;ID_PAYS;REGION;ID_REGION;CONTAMINES;DECES;GUERIS;CONTAMINES_FEMME;CONTAMINES_HOMME;CONTAMINES_GENRE_NON_SPECIFIE;SOURCE;
1;12/03/2020;GHA;Ghana;4;Ashanti;26;0;0;0;0;0;0;Service de la Santé du Ghana;
2;12/03/2020;GHA;Ghana;4;Brong Ahafo;27;0;0;0;0;0;0;Service de la Santé du Ghana;
3;12/03/2020;GHA;Ghana;4;Central;28;0;0;0;0;0;0;Service de la Santé du Ghana;
4;12/03/2020;GHA;Ghana;4;Upper East;29;0;0;0;0;0;0;Service de la Santé du Ghana;
5;12/03/2020;GHA;Ghana;4;Greater Accra;30;2;0;0;;;2;Service de la Santé du Ghana;
6;12/03/2020;GHA;Ghana;4;Northern;31;0;0;0;0;0;0;Service de la Santé du Ghana;
7;12/03/2020;GHA;Ghana;4;Western;32;0;0;0;0;0;0;Service de la Santé du Ghana;
8;12/03/2020;GHA;Ghana;4;Eastern;33;0;0;0;0;0;0;Service de la Santé du Ghana;
9;12/03/2020;GHA;Ghana;4;Upper West;34;0;0;0;0;0;0;Service de la Santé du Ghana;
10;12/03/2020;GHA;Ghana;4;Volta;35;0;0;0;0;0;0;Service de la Santé du Ghana;
11;12/03/2020;GHA;Ghana;4;Oti;36;0;0;0;0;0;0;Service de la Santé du Ghana;
12;12/03/2020;GHA;Ghana;4;North East;37;0;0;0;0;0;0;Service de la Santé du Ghana;
13;12/03/2020;GHA;Ghana;4;Western North;38;0;0;0;0;0;0;Service de la Santé du Ghana;
14;12/03/2020;GHA;Ghana;4;Savannah;39;0;0;0;0;0;0;Service de la Santé du Ghana;
15;12/03/2020;GHA;Ghana;4;Bono;40;0;0;0;0;0;0;Service de la Santé du Ghana;
16;12/03/2020;GHA;Ghana;4;Bono East;41;0;0;0;0;0;0;Service de la Santé du Ghana;
17;12/03/2020;GHA;Ghana;4;Non spécifié;42;0;0;0;0;0;0;Service de la Santé du Ghana;
18;13/03/2020;GHA;Ghana;4;Ashanti;26;0;0;0;0;0;0;Service de la Santé du Ghana;
19;13/03/2020;GHA;Ghana;4;Brong Ahafo;27;0;0;0;0;0;0;Service de la Santé du Ghana;
20;13/03/2020;GHA;Ghana;4;Central;28;0;0;0;0;0;0;Service de la Santé du Ghana;
21;13/03/2020;GHA;Ghana;4;Upper East;29;0;0;0;0;0;0;Service de la Santé du Ghana;
22;13/03/2020;GHA;Ghana;4;Greater Accra;30;0;0;0;0;0;0;Service de la Santé du Ghana;
23;13/03/2020;GHA;Ghana;4;Northern;31;0;0;0;0;0;0;Service de la Santé du Ghana;
24;13/03/2020;GHA;Ghana;4;Western;32;0;0;0;0;0;0;Service de la Santé du Ghana;
25;13/03/2020;GHA;Ghana;4;Eastern;33;0;0;0;0;0;0;Service de la Santé du Ghana;
26;13/03/2020;GHA;Ghana;4;Upper West;34;0;0;0;0;0;0;Service de la Santé du Ghana;
27;13/03/2020;GHA;Ghana;4;Volta;35;0;0;0;0;0;0;Service de la Santé du Ghana;
28;13/03/2020;GHA;Ghana;4;Oti;36;0;0;0;0;0;0;Service de la Santé du Ghana;
29;13/03/2020;GHA;Ghana;4;North East;37;0;0;0;0;0;0;Service de la Santé du Ghana;
30;13/03/2020;GHA;Ghana;4;Western North;38;0;0;0;0;0;0;Service de la Santé du Ghana;
31;13/03/2020;GHA;Ghana;4;Savannah;39;0;0;0;0;0;0;Service de la Santé du Ghana;
32;13/03/2020;GHA;Ghana;4;Bono;40;0;0;0;0;0;0;Service de la Santé du Ghana;
33;13/03/2020;GHA;Ghana;4;Bono East;41;0;0;0;0;0;0;Service de la Santé du Ghana;
34;13/03/2020;GHA;Ghana;4;Non spécifié;42;0;0;0;0;0;0;Service de la Santé du Ghana;
35;14/03/2020;GHA;Ghana;4;Ashanti;26;1;0;0;;;1;Service de la Santé du Ghana;
36;14/03/2020;GHA;Ghana;4;Brong Ahafo;27;0;0;0;0;0;0;Service de la Santé du Ghana;
37;14/03/2020;GHA;Ghana;4;Central;28;0;0;0;0;0;0;Service de la Santé du Ghana;
38;14/03/2020;GHA;Ghana;4;Upper East;29;0;0;0;0;0;0;Service de la Santé du Ghana;
39;14/03/2020;GHA;Ghana;4;Greater Accra;30;0;0;0;0;0;0;Service de la Santé du Ghana;
40;14/03/2020;GHA;Ghana;4;Northern;31;0;0;0;0;0;0;Service de la Santé du Ghana;
41;14/03/2020;GHA;Ghana;4;Western;32;0;0;0;0;0;0;Service de la Santé du Ghana;
42;14/03/2020;GHA;Ghana;4;Eastern;33;0;0;0;0;0;0;Service de la Santé du Ghana;
43;14/03/2020;GHA;Ghana;4;Upper West;34;0;0;0;0;0;0;Service de la Santé du Ghana;
44;14/03/2020;GHA;Ghana;4;Volta;35;0;0;0;0;0;0;Service de la Santé du Ghana;
45;14/03/2020;GHA;Ghana;4;Oti;36;0;0;0;0;0;0;Service de la Santé du Ghana;
46;14/03/2020;GHA;Ghana;4;North East;37;0;0;0;0;0;0;Service de la Santé du Ghana;
47;14/03/2020;GHA;Ghana;4;Western North;38;0;0;0;0;0;0;Service de la Santé du Ghana;
48;14/03/2020;GHA;Ghana;4;Savannah;39;0;0;0;0;0;0;Service de la Santé du Ghana;
49;14/03/2020;GHA;Ghana;4;Bono;40;0;0;0;0;0;0;Service de la Santé du Ghana;
50;14/03/2020;GHA;Ghana;4;Bono East;41;0;0;0;0;0;0;Service de la Santé du Ghana;
51;14/03/2020;GHA;Ghana;4;Non spécifié;42;0;0;0;0;0;0;Service de la Santé du Ghana;
52;15/03/2020;GHA;Ghana;4;Ashanti;26;0;0;0;0;0;0;Service de la Santé du Ghana;
53;15/03/2020;GHA;Ghana;4;Brong Ahafo;27;0;0;0;0;0;0;Service de la Santé du Ghana;
54;15/03/2020;GHA;Ghana;4;Central;28;0;0;0;0;0;0;Service de la Santé du Ghana;
55;15/03/2020;GHA;Ghana;4;Upper East;29;0;0;0;0;0;0;Service de la Santé du Ghana;
56;15/03/2020;GHA;Ghana;4;Greater Accra;30;0;0;0;0;0;0;Service de la Santé du Ghana;
57;15/03/2020;GHA;Ghana;4;Northern;31;0;0;0;0;0;0;Service de la Santé du Ghana;
